onset	duration	event_type	trial_type
7.247	n/a	S  5	stimulus
9.08	n/a	S  5	stimulus
10.863	n/a	S  5	stimulus
12.396	n/a	S  7	stimulus
13.98	n/a	S  5	stimulus
15.563	n/a	S  6	stimulus
16.051	n/a	S  1	response
17.047	n/a	S  5	stimulus
18.63	n/a	S  5	stimulus
20.263	n/a	S  6	stimulus
20.786	n/a	S  1	response
21.746	n/a	S  5	stimulus
23.579	n/a	S  5	stimulus
25.413	n/a	S  5	stimulus
26.896	n/a	S  5	stimulus
28.429	n/a	S  5	stimulus
29.862	n/a	S  7	stimulus
30.218	n/a	S  1	response
31.546	n/a	S  5	stimulus
33.279	n/a	S  5	stimulus
34.712	n/a	S  5	stimulus
36.446	n/a	S  5	stimulus
37.879	n/a	S  5	stimulus
39.462	n/a	S  7	stimulus
41.145	n/a	S  5	stimulus
42.729	n/a	S  6	stimulus
43.234	n/a	S  1	response
44.212	n/a	S  5	stimulus
45.945	n/a	S  5	stimulus
47.729	n/a	S  5	stimulus
49.412	n/a	S  7	stimulus
51.245	n/a	S  5	stimulus
52.978	n/a	S  7	stimulus
54.662	n/a	S  5	stimulus
56.445	n/a	S  5	stimulus
58.078	n/a	S  5	stimulus
59.862	n/a	S  5	stimulus
61.645	n/a	S  5	stimulus
63.078	n/a	S  5	stimulus
64.761	n/a	S  7	stimulus
66.395	n/a	S  5	stimulus
67.878	n/a	S  6	stimulus
68.386	n/a	S  1	response
69.661	n/a	S  5	stimulus
71.144	n/a	S  5	stimulus
72.878	n/a	S  6	stimulus
73.513	n/a	S  1	response
74.411	n/a	S  5	stimulus
75.944	n/a	S  5	stimulus
77.478	n/a	S  5	stimulus
79.211	n/a	S  7	stimulus
80.744	n/a	S  5	stimulus
82.177	n/a	S  6	stimulus
82.585	n/a	S  1	response
83.811	n/a	S  5	stimulus
85.244	n/a	S  5	stimulus
86.977	n/a	S  5	stimulus
88.811	n/a	S  5	stimulus
90.244	n/a	S  5	stimulus
91.827	n/a	S  5	stimulus
93.41	n/a	S  6	stimulus
93.793	n/a	S  1	response
94.994	n/a	S  5	stimulus
96.627	n/a	S  5	stimulus
98.46	n/a	S  5	stimulus
99.944	n/a	S  5	stimulus
101.627	n/a	S  5	stimulus
103.21	n/a	S  7	stimulus
104.643	n/a	S  5	stimulus
106.327	n/a	S  6	stimulus
106.817	n/a	S  1	response
107.96	n/a	S  5	stimulus
109.743	n/a	S  5	stimulus
111.427	n/a	S  6	stimulus
111.937	n/a	S  1	response
112.86	n/a	S  5	stimulus
114.643	n/a	S  5	stimulus
116.276	n/a	S  5	stimulus
117.86	n/a	S  5	stimulus
119.493	n/a	S  5	stimulus
121.076	n/a	S  7	stimulus
122.859	n/a	S  5	stimulus
124.293	n/a	S  5	stimulus
125.876	n/a	S  5	stimulus
127.659	n/a	S  5	stimulus
129.193	n/a	S  5	stimulus
131.026	n/a	S  7	stimulus
131.417	n/a	S  1	response
132.509	n/a	S  5	stimulus
134.292	n/a	S  6	stimulus
134.753	n/a	S  1	response
136.026	n/a	S  5	stimulus
137.609	n/a	S  5	stimulus
139.159	n/a	S  5	stimulus
140.842	n/a	S  7	stimulus
142.476	n/a	S  5	stimulus
144.109	n/a	S  7	stimulus
145.542	n/a	S  5	stimulus
147.175	n/a	S  5	stimulus
148.959	n/a	S  5	stimulus
150.492	n/a	S  5	stimulus
152.125	n/a	S  5	stimulus
153.558	n/a	S  5	stimulus
155.142	n/a	S  7	stimulus
156.875	n/a	S  5	stimulus
158.358	n/a	S  6	stimulus
158.817	n/a	S  1	response
159.842	n/a	S  5	stimulus
161.625	n/a	S  5	stimulus
163.208	n/a	S  6	stimulus
163.744	n/a	S  1	response
165.041	n/a	S  5	stimulus
166.575	n/a	S  5	stimulus
168.308	n/a	S  5	stimulus
170.041	n/a	S  7	stimulus
171.775	n/a	S  5	stimulus
173.258	n/a	S  6	stimulus
173.712	n/a	S  1	response
175.041	n/a	S  5	stimulus
176.724	n/a	S  5	stimulus
178.508	n/a	S  5	stimulus
179.941	n/a	S  5	stimulus
181.774	n/a	S  5	stimulus
183.308	n/a	S  5	stimulus
185.141	n/a	S  6	stimulus
185.552	n/a	S  1	response
186.574	n/a	S  5	stimulus
188.207	n/a	S  5	stimulus
189.941	n/a	S 10	n/a
204.957	n/a	S  5	stimulus
206.59	n/a	S  5	stimulus
208.273	n/a	S  5	stimulus
209.707	n/a	S  7	stimulus
211.14	n/a	S  5	stimulus
212.723	n/a	S  6	stimulus
213.104	n/a	S  1	response
214.157	n/a	S  5	stimulus
215.99	n/a	S  5	stimulus
217.623	n/a	S  6	stimulus
218.064	n/a	S  1	response
219.406	n/a	S  5	stimulus
220.94	n/a	S  5	stimulus
222.423	n/a	S  5	stimulus
224.156	n/a	S  5	stimulus
225.789	n/a	S  5	stimulus
227.639	n/a	S  7	stimulus
229.123	n/a	S  5	stimulus
230.656	n/a	S  5	stimulus
232.489	n/a	S  5	stimulus
234.173	n/a	S  5	stimulus
235.906	n/a	S  5	stimulus
237.639	n/a	S  7	stimulus
239.072	n/a	S  5	stimulus
240.606	n/a	S  6	stimulus
241.032	n/a	S  1	response
242.439	n/a	S  5	stimulus
243.922	n/a	S  5	stimulus
245.406	n/a	S  5	stimulus
247.239	n/a	S  7	stimulus
248.922	n/a	S  5	stimulus
250.705	n/a	S  7	stimulus
252.339	n/a	S  5	stimulus
254.122	n/a	S  5	stimulus
255.705	n/a	S  5	stimulus
257.238	n/a	S  5	stimulus
259.022	n/a	S  5	stimulus
260.455	n/a	S  5	stimulus
261.888	n/a	S  7	stimulus
